shootout_id;date;home_team;away_team;winner
1;22-08-1967;India;Taiwan;Taiwan
2;14-11-1971;South Korea;Vietnam Republic;South Korea
3;17-05-1972;Thailand;South Korea;South Korea
4;19-05-1972;Thailand;Cambodia;Thailand
5;26-07-1973;Malaysia;Kuwait;Malaysia
6;26-07-1973;Cambodia;Singapore;Singapore
7;27-07-1973;Bangladesh;Thailand;Thailand
8;28-07-1973;Myanmar;South Korea;Myanmar
9;09-08-1973;India;Vietnam Republic;Vietnam Republic
10;23-08-1973;Algeria;Syria;Syria
11;25-08-1973;Algeria;Iraq;Algeria
12;28-03-1974;Qatar;United Arab Emirates;Qatar
13;24-07-1974;Hong Kong;Indonesia;Indonesia
14;01-08-1974;India;Indonesia;Indonesia
15;09-10-1974;Syria;Morocco;Morocco
16;22-11-1974;Libya;Tunisia;Tunisia
17;18-12-1974;South Korea;Malaysia;South Korea
18;09-11-1975;Kenya;Malawi;Kenya
19;23-12-1975;Libya;Syria;Syria
20;20-06-1976;Czechoslovakia;Germany;Czechoslovakia
21;22-12-1976;South Korea;Malaysia;Malaysia
22;09-01-1977;Tunisia;Morocco;Tunisia
23;27-07-1977;Iran;Morocco;Iran
24;31-08-1977;Paraguay;Argentina;Paraguay
25;13-01-1979;Guinea-Bissau;Mali;Mali
26;14-01-1979;Guinea-Bissau;Guinea;Guinea
27;22-05-1979;Argentina;Netherlands;Argentina
28;16-02-1980;Gambia;Mauritania;Gambia
29;19-03-1980;Algeria;Egypt;Algeria
30;21-06-1980;Italy;Czechoslovakia;Czechoslovakia
31;12-07-1980;Nigeria;Tunisia;Nigeria
32;30-11-1980;Zambia;Morocco;Morocco
33;31-12-1980;Hong Kong;China PR;China PR
34;13-02-1981;Mali;Guinea;Guinea
35;10-05-1981;Rwanda;Ethiopia;Ethiopia
36;21-02-1982;Ivory Coast;Togo;Togo
37;22-02-1982;Ivory Coast;Burkina Faso;Burkina Faso
38;19-03-1982;Libya;Ghana;Ghana
39;15-05-1982;Thailand;Singapore;Thailand
40;17-05-1982;Thailand;South Korea;Thailand
41;08-07-1982;Germany;France;Germany
42;17-10-1982;Indonesia;Malaysia;Indonesia
43;27-11-1982;Uganda;Kenya;Kenya
44;06-02-1983;Senegal;Niger;Senegal
45;20-02-1983;Gambia;Sierra Leone;Gambia
46;27-02-1983;Mali;Guinea;Mali
47;22-04-1983;Egypt;Congo;Egypt
48;24-04-1983;Mauritius;Ethiopia;Ethiopia
49;18-07-1983;Hong Kong;Thailand;Thailand
50;28-08-1983;Morocco;Nigeria;Nigeria
51;15-12-1983;Ivory Coast;Mali;Ivory Coast
52;18-12-1983;Mali;Nigeria;Mali
53;16-02-1984;Sierra Leone;Mali;Sierra Leone
54;19-02-1984;Sierra Leone;Senegal;Senegal
55;14-03-1984;Egypt;Nigeria;Nigeria
56;14-03-1984;Algeria;Cameroon;Cameroon
57;28-03-1984;Iraq;Qatar;Iraq
58;24-06-1984;Denmark;Spain;Spain
59;15-07-1984;Senegal;Angola;Angola
60;23-11-1984;Kenya;Somalia;Kenya
61;28-11-1984;Ghana;Togo;Ghana
62;08-12-1984;Kenya;Somalia;Kenya
63;13-12-1984;Saudi Arabia;Iran;Saudi Arabia
64;15-12-1984;Malawi;Zambia;Zambia
65;16-12-1984;Iran;Kuwait;Kuwait
66;16-12-1984;Chad;Equatorial Guinea;Chad
67;19-12-1984;Central African Republic;Gabon;Gabon
68;20-12-1984;Congo;Cameroon;Cameroon
